id,sentence,label
34,"with a rare gift for melding subjectivity with biographical facts , m&#225 ; rton brings sabina spielrein back to life , body and soul . 
",subjectivity

35,"seeking a mental escape , simone begins to tune into what's happening with the other couples around her . 
",subjectivity

36,"the beatle fan is a drama about albert , a psychotic prisoner who is a devoted fan of john lennon and the beatles . 
",subjectivity

37,"then , in 1974 , something incredible happened - they fell in love . 
",subjectivity

38,"on her deathbed , candice klein accidentally asks the question , "" what did i ever do to deserve this ? "" 
",subjectivity

39,"shot as a "" behind-the-scenes "" look at how a fictional kung-fu movie is made , the film is basically a movie about the making of a movie . 
",subjectivity

40,"before the investigation ends , we've met boyfriends , a drug dealer , alicia's mom , hadley's dad , nurses , doctors , and an orderly . 
",subjectivity

41,"but what exactly is good &#38 ; what exactly is evil ? 
",subjectivity

42,"the movie takes place in mexico , 2002 ( based on a story from the 1800's ) . 
",subjectivity

43,"rainone's love affair with singing sensation kelly mcguire whom he discovered and his near demise by the hands of his own prot&#233 ; g&#233 ; vincent riccola is the juice that fuels this roller coaster ride through two debauchery-filled decades of greed , sex , drugs and rock and roll . 
",subjectivity

44,"trapped in a lovers triangle and ruthless game of lust , greed , and betrayal we follow one woman's hypnotic journey to discover her true self . . . 
",subjectivity

45,"decent-but-dull dek loves shirley , so much so that he humiliates her by proposing without warning on national television . 
",subjectivity

46,"since all her architects are either busy otherwise or too conservative in style , this ambivalent honour falls to numerobis . 
",subjectivity

47,"there's a story that goes around the town of darkness falls about her , and she's called the tooth fairy . 
",subjectivity

48,"a strange film employing old home movies and newly shot footage in an effort to expose one hungarian family and their mutiple problems from the 1940s to current . 
",subjectivity

49,"matsumoto and sawako were a happy couple , but meddling parents and chase for success push the boy to a tragic choice . 
",subjectivity

50,"elvis teams up with jack ( ossie davis ) , a fellow nursing home resident who thinks that he is actually president john f . kennedy , and the two valiant old codgers sally forth to battle an evil egyptian entity who has chosen their long-term care facility as his happy hunting grounds . 
",subjectivity

51,"everywhere he goes he is plagued by cats and when by chance he meets carol on a lonely highway they must begin a journey , avoiding the mysterious private detective mr barlow and the terrifying inhuman creature jack , to uncover the dark truth to charlie's life . 
",subjectivity

52,"used to living in poverty , it seemed impossible for cass and cary to have a comfortable and bountiful life until doqa gracia comes to bring them into her home . 
",subjectivity

53,"the story of a normal family in which come out the dreams of those who have lost their possibilities and of those who want to realize them . 
",subjectivity

54,"with grit and determination molly guides the girls on an epic journey , one step ahead of the authorities , over 1 , 500 miles of australia's outback in search of the rabbit-proof fence that bisects the continent and will lead them home . 
",subjectivity

55,"they nevertherless feel responsible to protect the flag until monday's ceremony . 
",subjectivity

56,"the doctor realizes it''s a love virus so he advises him to woo the girl somehow , not realizing that munnabhai has fallen for none other than his own younger sister komal . 
",subjectivity

57,"however , he can only inhabit the body of a child for a short time . 
",subjectivity

58,"years later , on a hunting trip in the maine woods , they are overtaken by a blizzard , a vicious storm in which something much more ominous moves . 
",subjectivity

59,"consequently , what begins as an enthusiastic road trip is soon plagued with mysterious roadside obstacles that threaten to prevent the boys from ever making it to the competition . 
",subjectivity

60,"when she gets into trouble with the police simon represses his death wish and decides to help her out . 
",subjectivity

61,"chon then travels to new york for roy o'bannon ( owen wilson ) . 
",subjectivity

62,"not only must they overcome an enemy adept at technological witchery , they must overcome the curse that marks their destiny . 
",subjectivity

63,"their life becomes less ordinary when they encounter herb , a mischievous and malevolent geek . 
",subjectivity

64,"they call themselves d . e . b . s . 
",subjectivity

65,"the story starts with hakimi , a freelance scriptwriter who is on his way to send his 7-year-old daughter , imelda , to his ex-wife's house on one stormy night . 
",subjectivity

66,"they follow leads , informants turn up dead , nick's wife is unhappy he's back on the street , henry's protective of the dead cop's wife . 
",subjectivity

67,"the second part of aki kaurism&#228 ; ki's "" finland "" trilogy , the film follows a man who arrives in helsinki and gets beaten up so severely he develops amnesia . 
",subjectivity

68,"soon after the accident , the survivors of the accident start dropping like flies . 
",subjectivity

69,"edgar becomes intent on laying down some new rules and turning his coddled son into someone who can take on the family farm . 
",subjectivity

70,"bound by a long red cord , a young couple wanders in search of something they have forgotten . 
",subjectivity

71,"sudden fame does not seem to solve everything , however . 
",subjectivity

72,"with no option , joe and katsuragi must use their martial arts skills to fight in the muscle dome . 
",subjectivity

73,"drawing from his time with the kids , he writes a story about children who don't want to grow up . 
",subjectivity

74,"she's an artist , but hasn't picked up a brush in a year . 
",subjectivity

75,"when his daughter is kidnapped and held in exchange for priceless diamonds , the leader of a crew of highly skilled urban thieves ( dmx ) forges an unlikely alliance with a taiwanese intelligence officer ( jet li ) to rescue her . 
",subjectivity

76," "" garmento "" tells the other side of the story , with a dark and satirical look at new york's wholesale garment industry , where shady deals are made for a buck and ruthlessness is a prerequisite for career success . 
",subjectivity

77,"rudy yellowshirt is an investigator with the police department and witnesses firsthand the painful legacy of indian existence . 
",subjectivity

78,"journeying from the vietnam war to pulaski , tennessee and back to vietnam , daughter from danang tensely unfolds as cultural differences and the years of separation take their toll in a riveting film about longing and the personal legacy of war . 
",subjectivity

79,"each weekend they come back with nothing but a hangover . 
",subjectivity

80,"robert de niro plays a therapist who is an obsessive-compulsive agoraphobic and hasn't left his apartment in six years . 
",subjectivity

81,"with his own group , the urban cyber breakers , he has got a dream : to win the dance battle that will bring his team to the world final in new york before reaching usa and fame , he has to overcome the rival group , the ld , to deal with his mother's excessive love and to live out his passion for the beautiful samia . 
",subjectivity

82,"graced with the instinctive ability to dance , jenny thomas wants nothing more than to become a professional dancer . 
",subjectivity

83,"genetically engineered to be immune to the drug , miles' strange charisma draws claire to him , but when he brutally guns down a group of harmless dissidents , she begins to doubt she can really trust anyone . 
",subjectivity

84,"palm springs' white party is the backdrop for this documentary on the fast-paced world of gay circuit parties . 
",subjectivity

85,"a few questionable actions later on both parties' part , they finally start questioning their actions and their lives . 
",subjectivity

86,"ramu stands in and repeats the wisdom of sharonna , freeing the mind of the posh guests and attracting lexi to him . 
",subjectivity

87,"anna is the jewish daughter of a spanish mother and a greek father . 
",subjectivity

88,"believing his parent's dead , bruce is raised by adoptive parents . 
",subjectivity

89,"identified as deserters , they are returned to their barracks to be court martialed . 
",subjectivity

90,"frances decides to take a break and she buys a villa in the beautiful tuscan countryside and decides to begin anew . 
",subjectivity

91,"set in the los angeles police department in april 1992 , dark blue is a dramatic thriller that takes place just days before the acquittal of four white officers in the beating of black motorist rodney king and the subsequent l . a . riots . 
",subjectivity

92,"during this time he becomes wracked by horrific and surreal visions that begin to fuel his work . 
",subjectivity

93,"the face of the serpent is an action-thriller with strong political undertones of local government corruption . 
",subjectivity

94,"he resurfaces as a hired snoop for , earth now , a radical ecology group . 
",subjectivity

95,"surrounded by a bevy of adoring but completely wrong for her men ( and one dead girl from manchester ) , chance has to pick her way through her messy life in order to figure out which guy is "" it "" . 
",subjectivity

96,"upon discovering her infidelity , roxie's husband amos refuses to take the blame for the murder and roxie is sent to jail , pending hanging . 
",subjectivity

97,"initially reluctant to help , daniel's conscience eventually gets the better of him . 
",subjectivity

98,"his plans go awry , however , when his older brother , keith , returns from prison . 
",subjectivity

99,"inspired and motivated , the kids save the day , showing bravery and nobility . 
",subjectivity

100,"however he's cauught by the mexican secret police and is forced to infiltrate a gruop political activist in the movement of 68 . 
",subjectivity

101,"arjun ( akshay kumar ) is a high profile vigilante who soon encounters a problem when his mother ( raakhee ) becomes terribly ill . 
",subjectivity

102,"ronnie must then deal with his new life , while having to deal with missing his ex-wife that he left back home . 
",subjectivity

103,"chuck - the songwriting leader of the po'boys , is discouraged and facing writer's block . 
",subjectivity

104,"chomsky places the terrorist attacks in the context of american foreign intervention throughout the postwar decades--in vietnam , central america , the middle east , and elsewhere . 
",subjectivity

105,"she quickly makes friends with paul taylor , a witty mormon student filmmaker who finds jenny's ambitious dream to be the subject for his next film project . 
",subjectivity

106,"one of the friends is a dress designer and provides him the artist's clothes and imported cars are provided to him to enjoy life . 
",subjectivity

107,"three friends get together and bury a box making a pact to open it at midnight at their high school graduation . 
",subjectivity

108,"fearful of the repercussions on his already messed up life , greg flees the scene and manages to hide his clunky damaged truck on the nearby overgrown farm of martha thompson , an aging grouchy widow who lives by the scriptures , ideas of traditional family and her trusty shotgun . 
",subjectivity

109,"but her husband always has prevented her realization of this fact . 
",subjectivity

110,"today marks a special anniversary for the couple and they set out to celebrate the way they have before , with an old fashion picnic . 
",subjectivity

111,"the next morning , their friday gets freaky when tess and anna find themselves inside the wrong bodies . 
",subjectivity

112,"the boy gets a shock when he comes to know that the job involves spying sharad's wife . 
",subjectivity

113,"in the surroundings of the bookstore , a lot of criminal , but also funny activities take place . 
",subjectivity

114,"blade's team and the bloodpack are the only line of defense which can prevent the reaper population from wiping out the vampire and human populations . 
",subjectivity

115,"after letting his screenwriting software sit on his shelf for three years , he finally has the big idea that inspires him to load screenwriter 4 . 0 and get writing . 
",subjectivity

116,"when the gammasphere goes wrong , bruce banner is afflicted with the ability to turn into a mammoth creature soon dubbed 'the hulk' , a manifestation of his own inner demons that he mutates into when it is emotionally triggered . 
",subjectivity

117,"renata is a young high-class girl and ulises is a poor guy . 
",subjectivity

118,"amaro soon discovers that corruption and the church are old acquaintances in los reyes . 
",subjectivity

119,"in the end , debby , beth , and virginia find , if not the relationships of their dreams , peace with each other and within themselves . 
",subjectivity

120,"he is in search for his salvation and his son salvation from a family curse . 
",subjectivity

121,"all are endeavoring to remove the stones that insistently appear in their path or , worst , that are in their shoes . 
",subjectivity

122,"renowned adventurer allan quatermain ( connery ) leads a team of extraordinary figures with legendary powers to battle the technological terror of a madman known as "" the fantom . "" 
",subjectivity

123,"but for trey segal , that dream comes at a cost . 
",subjectivity

124,"the sequel to spy kids ; the second film revisits the adventures of the previous film . 
",subjectivity

125,"johnny lever ( paaji ) is a millionaire sardarji who believes in distributing &#38 ; spending lavishly his wealth on his friends . 
",subjectivity

126,"during the year 2000 geyrhalter and his teams travelled to a different destination each month , looking for places untouched by the millennium hysteria . 
",subjectivity

127,"kannas brother ghisu is one aggressive and hot-tempered with who is illiterate and is slowly getting attracted towards naxalites . 
",subjectivity

128,"her loving parents feel helpless as they watch their daughter suffer . 
",subjectivity

129,"area k is an israeli controlled marine zone isolating the gaza strip and preventing palestinian fishermen from entering israel , egypt and international waters . 
",subjectivity

130,"while other kids buy into countless hours of studying just so they can get a mark in some teacher's report book , handsome davis sees it as nothing more than a system of control over your mind . 
",subjectivity

131,"frank's newest transport seems no different from the countless ones he's done in the past . 
",subjectivity

132,"they are told the story of the chamber of secrets . 
",subjectivity

133,"but grace has a secret and it is a dangerous one . 
",subjectivity

134,"the nameless protagonist , a 19th-century french diplomat , guides the audience through a lost , sumptuous dream that was the enlightenment period . 
",subjectivity

135,"but there is indie rock , a restless entrepreneurial spirit , and carly , morgan and chuck , three optimistic post college grads , ready to make their splash in the world . 
",subjectivity

136,"a document about a unique political and artistic moment , the film traces the links between the two most important latin american filmmaking movements of the late '60s the brazilian cinema n&#244 ; vo and the cuban cine revolucionario . 
",subjectivity

137,"in the cutthroat world of children's television , rainbow randolph , the corrupt , costumed star of a popular children's tv show , is fired over a bribery scandal and replaced by squeaky-clean smoochy , a puffy fuscia rhinoceros . 
",subjectivity

138,"two friends purchase a winning lottery ticket , only to have it stolen by a woman while she is robbing the cafe in which they are having lunch . 
",subjectivity

139,"carlton "" niche "" james ( cory barlog ) is a man on a mission . 
",subjectivity

140,"together , they must battle a band of the world's most treacherous pirates , led by the cursed captain barbossa , in order to save elizabeth , the love of will's life , as well as recover the lost treasure that jack seeks . 
",subjectivity

141,"in this bittersweet slice of working class single new jersey life , best friends debby and beth ( both pushing thirty ) go looking for love in the wrong place - namely their favorite bar , oliver's . 
",subjectivity

142,"although their characters and temperaments couldn't be less alike , 19-year olds wei and jie are best friends . 
",subjectivity

143,"the body bears strange marks on the chest which may or may not be the sign of a sin eater ( furmann ) , a renegade who offers absolution , last rites and therefore a path to heaven outside the jurisdiction of the church . 
",subjectivity

144,"this romantic comedy , described as an african-american when harry met sally . . . , centers on a romance between an a&#38 ; r exec , dre ( diggs ) , at a hip-hop label and a magazine editor , sidney ( lathan ) , who have known each other since childhood . 
",subjectivity

145,"matt , a city boy , island hopping to take in the festival of fire , hears that she has been tricked ; for jake is not dying . 
",subjectivity

146,"a martial artist , afflicted with a disease that makes beautiful women want to kill him , goes on a suicide mission to find true love anyway . 
",subjectivity

147,"there's only one catch : martin , her ex-husband , still hasn't moved out of the place . 
",subjectivity

148,"the companies' ceos and attorneys are summoned to a final round of mediation , at an off-shore location . 
",subjectivity

149,"sid , a sloth who never stops talking is left behind sleeping while everyone else begins the journey to the south . 
",subjectivity

150,"he tries to ignor it , but he later finds out on the news that the daughter of a senator has been kidnapped and is being help ransom for $15m . 
",subjectivity

151,"the family come from a long line of masters of disguise who are able to mask themselves as almost anyone or anything by harnessing the great power of energico . 
",subjectivity

152,"a film so terrifying - even the monsters are frightened ! 
",subjectivity

153,"what he finds is a pocket of life that seems to be in another era , where prejudice and intolerance are accepted , where the small minds of angry men call the shots and where one woman attempts to save him and fails . 
",subjectivity

154,"love , politics and intrigue intermingle in this taut retelling of graham greene's classic tale of a disillusioned british journalist , an idealistic young american and the beautiful vietnamese woman that comes between them in 1950s saigon . 
",subjectivity

155,"thus when he surprisingly gets an email from american film producer alex brubeck who writes that he had liked the script and would like to meet him personally , tam&#225 ; s sees all his dreams come true . 
",subjectivity

156,"3 beautiful agents try to find the treasure , but they must fight the evil datuk azmi , an old enemy of madame x . it has been four years since the alien-seeking agents averted an intergalactic disaster of epic proportions . 
",subjectivity

157,"ethan , a confident young architect and seeming 'perfect guy' has invested himself , and his heart , in women like rachel before - and he is sure he has learned his lesson . 
",subjectivity

158,"a close acquaintance overhears their conversation , and , promised a fee , reports the win to max ( david winburn ) , smooth-talking but deadly leader of a hoodlum gang , who sends his beautiful paramour , cindy ( kelly taylor ) , to seduce jose , if necessary , to get her hands on the winning ticket . 
",subjectivity

159,"when all but one of mi5's top agents are killed in an explosion . 
",subjectivity

160,"jack has a history with charlie , a transient who portrays a typical image of the homeless : rough , unshaven and always looking for the next drink . 
",subjectivity

161,"fourth generation war hero col . william mcnamara is imprisoned in a brutal german pow camp . 
",subjectivity

162,"oscar is certain that he could be a better mate to eve than his work-obsessed father . 
",subjectivity

163,"at the same time , scientist and businessman norman osborn , after exposure to an experimental nerve gas , develops an alternate personality himself ; the super-strong , psychotic green goblin ! 
",subjectivity

164,"from her complex and enduring relationship with her mentor and husband to her illicit and controversial affair with leon trotsky , to her provocative and romantic entanglements with women , frida kahlo lived a bold and uncompromising life as a political , artistic , and sexual revolutionary . 
",subjectivity

165,"there's ushi , harry's lawyer , who knows something about harry lena doesn't know , eddie , a friend of harry and his new girlfriend pol , and at last , there are two policemen who are in fact unwelcome . 
",subjectivity

166,"america's best player is being pulled in to the ultimate cyber-terror . 
",subjectivity

167,"besides him , the other residents are "" baggers , "" human-like creatures that are infected by the tall man's blood , the dwarves , and , of course , the silver spheres , all trying to break out of the barrier that contains them and into the real world . 
",subjectivity

168,"but nobody figured sam decker and his juvenile delinquents into the equation . 
",subjectivity

169,"the film captures intense footage of several art events as well as interviews with burning man organizers larry harvey ( also co-founder ) , crimson rose and will roger who explain how , what started in 1986 as an impromptu summer solstice celebration , put on by a few friends at a beach in san francisco , has turned into a full-blown exercise in city planning and management with a hefty price-tag . 
",subjectivity

170,"chon's sister , lin ( wong ) , also thirsty for vengeance , stumbles into what appears to be a conspiracy to off the royal family . 
",subjectivity

171,"a young father amaro arrives at his new church post on the orders of the bishop . 
",subjectivity

172,"amelia is quickly following into the footsteps of her mother , sanjuanera , who has been engaged in a long-time affair with father benito . 
",subjectivity

173,"ivan , a captain of the soviet army , arrested by the front secret police 'smersh' , has a narrow escape . 
",subjectivity

174,"they follow him to las vegas , where he is ostensibly doing "" research "" for the next season , but is actually pursuing a dream to become a dancer in a vegas show . 
",subjectivity

175,"whistle completes the trilogy started in from here to eternity and the thin red line . 
",subjectivity

176,"they gradually find themselves drawn to each other but , as their remarkable story plays out , the obstacles to their happiness prove all but insurmountable . 
",subjectivity

177,"there he encounters dawn's family who tie him down and put him on trail for the murder of the girl years before . 
",subjectivity

178,"but all is not smooth in the rockies , as their relationship accelerates - cultural differences , family issues , former loves and life-altering challenges threaten to shake things up . 
",subjectivity

179,"documentarians weissman and weber have expertly crafted a record of a wondrous time and a wild group in the cockettes , and you won't want to miss a minute of it . 
",subjectivity

180,"a banker , husband , and father , mr . smith ( larry pine ) must leave it behind him . 
",subjectivity

181,"before they carry this out , they want to truly experience life on the edge and they devise a plan by which their suicides will make them legends . 
",subjectivity

182,"one of patricia's early followers is francis hiller ( edward albert jr . ) , jack's son and katherine's stepbrother , a successful local businessman . 
",subjectivity

183,"but harper himself is a suspect in several bomb attacks , one of which killed rachel's partner and friend . 
",subjectivity

184,"in a fantasy life she lives through her sketchbook , laura's world is exotic , bright and enchanting . 
",subjectivity

185,"kilo decides to learn how to prosper in the drug world and his new life as a dealer begins . 
",subjectivity

186,"he has had no formal education , but on his own , he systematically studies western theories of industrial management and such classical chinese philosophies as confucianism , taoism , and suntzu . 
",subjectivity

187,"in addition , the detective has to deal with a serial killer who had already killed and mutilated many women . 
",subjectivity

188,"at times he seems to share nicholas's fascination , but then appears more interested in making inroads with the girls at school . 
",subjectivity

189,"but there are some surprises on the way . . . 
",subjectivity

190,"the sra's act as 'portals' on the internet , helping users to fulfill their dreams . 
",subjectivity

191,"they discover a little bit about love , dating and each other as the search through the thousands of hopefuls . 
",subjectivity

192,"a zany comedy where as pop is dying he is pushing his remaining son to fulfill his last request ; to marry and carry on the family name . 
",subjectivity

193,"his father and brother are dead for so many years . 
",subjectivity

194,"as the girls begin to bond , laura gradually begins to find herself abandoning the safety of the fantasy and falling into her first real friendship . 
",subjectivity

195,"unwilling to disappoint his proud mother , morales wastes no time in looking for a job to pay his way through school . 
",subjectivity

196,"the land has been in the grip of a ravaging drought for 10 years . 
",subjectivity

197,"the story follows them and the people they encounter on their way to their destination . 
",subjectivity

198,"the movie revolves around munnabhai ( sanjay dutt ) a dreaded but good-hearted underworld don of mumbai . 
",subjectivity

199,"she calls on a fairy godmother to grants her three wishes . 
",subjectivity

200,"four characters are carried over , the first sergeant , the clerk , the mess sergent , and the misfit . 
",subjectivity

201,"she and her daughter flee to find sylvie's first love in the countryside . 
",subjectivity

202,"to spite the hated infidel ways of her father , she has settled into a complacent relationship and is struggling ( not too hard ) with issues of fidelity to her kind but unexciting husband . 
",subjectivity

203,"the parent corporation sends in an elite military unit , where they meet alice , who is suffering from amnesia due to exposure to nerve gas . 
",subjectivity

204,"his search soon sends him down a dangerous path . . . 
",subjectivity

205,"together , they plan to build their definite house over land that belonged to gregorio's grandfather , but little does the rest of the family suspect that beneath the terrain there is a huge number of weapons buried by gregorio during his youth . 
",subjectivity

206,"they came to pray , but instead they end up in the middle of an unpleasant religious argument as they suddenly get interrupted by a mystical appearance : is it god ? 
",subjectivity

207,"ahas , son from a poor family , in his inner struggles , joins the troop of his classmates and heads for the front . 
",subjectivity

208,"this definitely delivers a remarkable mixture of explosive drama with wickedly ironical humor as you follow this eclectic story surrounding this tide-dyed , free spirited couple's showdown with a mysterious faberge' egg and a seedy , well-woven cast of criminals that will both trill and amuse . 
",subjectivity

209,"during the war between iran and iraq , a group of iranian kurd musicians set off on an almost impossible mission . 
",subjectivity

210,"it's valentines day , sweets are currency , and new yorkers can't seem to get enough of their favorite moses donuts . 
",subjectivity

211,"former world-rallye-champion walter and his daughter natascha are kidnapped by arab terrorists and brought to berlin . 
",subjectivity

212,"but things take a turn for the worst when sheldon finds out that some of the people that he works with , and some he doesn't know he's working for , are all in it for the money . 
",subjectivity

213,"the word in las vegas is that he is dead . 
",subjectivity

214,"and in wicker park ( chicago's answer to greenwich village ) , rachel is about to meet her cosmic match . 
",subjectivity

215,"leviticus , a navy veteran returns home after serving his country to find the war at home is harder than anything he's ever encountered , but exactly what &#38 ; who is he fighting for ? 
",subjectivity

216,"but then the crew detects a break-in on their computer systems , and picard is captured by the romulans because shinzon needs him as his only matching supplier of genetic material . 
",subjectivity

217,"all of this changes when he finds a large mysterious package left on his doorstep . 
",subjectivity

218,"this appears to be only the beginning of a string of suicides around the country . 
",subjectivity

219,"they swore to have their unborn babies get married when they grew up . 
",subjectivity

220,"after their relationship falters , shane begins to think he might be unlucky and turns to gambling as an outlet for his obsession . 
",subjectivity

221,"ben cronin has it all : the admiration of his many friends , a terrific girlfriend , and he's on the fast-track to an athletic scholarship . 
",subjectivity

222,"sebastien cortez is an up and coming film maker who has just gotten his big break in "" the biz . "" 
",subjectivity

223,"having an affair with his girlfriend's professor forces him to make difficult decisions about love , friendship , career , and the direction his life should take . 
",subjectivity

224,"meanwhile , on jesse&#180 ; s trail is the saint of the killers , a holy cowboy assassin with the mission of kill custer . 
",subjectivity

225,"swept into the final moments of the ceremony , jenny must decide ; should she hurt all the people who love her by running away , or simply say "" i do "" ? 
",subjectivity

226,"how does it play a significant role in japanese culture , and why does it fascinate american youth ? 
",subjectivity

227,"the artist lives alone in a foreboding old house in the country , a place of solitude , free from distractions . 
",subjectivity

228,"over 80 of the world's greatest martial artists demonstrate techniques and discuss philosophy in this fascinating account of the martial arts phenomenon and its increasing global popularity . 
",subjectivity

229,"conflict enters their relationship when anthony expresses to victoria that their sex life is practically non-existent . 
",subjectivity

230,"and yet , amid the overwhelming destitution and the daily quest for survival , the desire for joy , beauty and music is still alive . 
",subjectivity

231,"he is locked up in a chinese prison where he is guilty until proven innocent . 
",subjectivity

232,"standard story of boy meets girl and girl thinks he is gay . 
",subjectivity

233,"adam fields is a rage-filled u . s . border patrol agent who often crosses the line in his job . 
",subjectivity

234,"then you remember where the bad dreams came from . 
",subjectivity

235,"brings back nick tellis , fired 18-months ago when a stray bullet hits a pregnant woman . 
",subjectivity

236,"while awaiting trial , zoe is confined to house arrest , where she alternates falling in love with her frequent visitor and parole officer , daly , and trying to prove her innocence to regain her life and freedom . 
",subjectivity

237,"in order to preserve her art and also herself , beyond death , for all posterity , she has herself cloned . 
",subjectivity

238,"he indeed is douglas ( timothy bottoms ) , a perfect look-a-like . 
",subjectivity

239,"juwanna mann follows the story of jamal jeffries ( miguel a . nunez , jr . ) , the reigning 'bad boy' of basketball , whose undisciplined on-court antics land him out of the league and without any prospects . 
",subjectivity

240,"the five protagonists of my film are women who have not been able to organize the large "" stones "" in their lives . 
",subjectivity

241,"her harrowing story ends in victory , but she has not forgotten the thousands of asylum seekers who remain in detention today . 
",subjectivity

242,"an unusual family and a staff of two are preparing a party on their cosy mansion . 
",subjectivity

243," "" bums in the mist "" will expose you to a world where alcohol is king and sloth is a virtue ; buddy george will discover , bums who are able to find love and professional success all while maintaining their "" mondern frontiersman "" lifestyle ; bums who's natural gifts enable them to move down the ladder of success at an astronomical rate ( or whatever the opposite of astronomical is ) and who's penchant for violence impact every aspect of their lives . 
",subjectivity

244,"unfortunately the third seems out of reach - the beautiful , seductive anne elise . 
",subjectivity

245,"gerry's daughter , mattie , accidentally prints out a dna code that in the wrong hands can end the human race . 
",subjectivity

246,"devastated by her husband's death from a drug overdose , philippa ( played by cate blanchett ) , a british teacher living in turin , italy , tries to bring justice to the biggest drug dealer in turin when the local police ignore her information about him . 
",subjectivity

247,"ex-special forces operator frank martin ( jason statham ) lives what seems to be a quiet life along the french mediterranean , hiring himself out as a mercenary "" transporter "" who moves goods - human or otherwise - from one place to another . 
",subjectivity

248,"upon sighting a small , previously not there , diner , he pulls in to find help . 
",subjectivity

249,"simon is desperately trying to save his internet personals business . 
",subjectivity

250,"a coming of age dramatic comedy dealing with the effect that two "" summers "" have on the lives of several teenagers . 
",subjectivity

